//编号	第一次打击点	...											第一次打击点是否产生伤害												技能
//吸血鬼普通攻击	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	普通攻击
2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	普通攻击
3	20	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	0	0	普通攻击
//狼人普通攻击	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	普通攻击
5	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	普通攻击
6	20	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	0	0	普通攻击
//女战士普通攻击	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	普通攻击
8	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	普通攻击
9	20	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	0	0	普通攻击
//技能	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	200	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	技能
104	200	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	0	0	技能
