//装备等阶	升级成功率	失败率	摧毁率	金钱类型	升级消耗金币	需要的道具ID	消耗的个数	提升成功率	升级失败等级-1	-2	-3	-4	-5	-6	-7	-8	-9
1	100	0	0	1	10000	4000001	0	0	0	0	0	0	0	0	0	0	0
2	80	20	0	1	20000	4000001	0	0	100	0	0	0	0	0	0	0	0
3	66	34	0	1	40000	4000001	0	2	80	100	0	0	0	0	0	0	0
4	42	51	7	1	80000	4000001	0	3	75	95	100	0	0	0	0	0	0
5	32	53	15	1	100000	4000002	0	4	50	80	95	100	0	0	0	0	0
6	24	48	28	1	140000	4000002	0	6	36	61	79	92	100	0	0	0	0
7	16	44	40	1	180000	4000002	0	8	16	38	70	82	90	96	100	0	0
8	7	26	67	1	220000	4000003	0	10	0	0	23	48	69	86	97	100	0
9	4	21	75	1	300000	4000003	0	13	0	0	20	47	69	85	93	98	100
10	0	0	0	1	0	4000003	0	15	0	0	0	0	0	0	0	0	0
