2014-6-5 14:49:52	10021	999888	2
2014-6-5 14:51:18	10022	999888	2
2014-6-5 14:52:9	10024	999888	2
2014-6-5 14:52:35	10022	999888	1
2014-6-5 14:56:2	10021	999888	2
2014-6-5 15:18:28	10021	999888	2
2014-6-5 15:18:28	10021	999888	2
2014-6-5 15:18:36	10021	999888	2
2014-6-5 15:18:54	10022	999888	2
2014-6-5 15:20:42	10021	999888	1
2014-6-5 15:21:21	10022	999888	2
2014-6-5 15:21:21	10022	999888	2
2014-6-5 15:21:21	10022	999888	2
2014-6-5 16:26:25	10021	999888	2
2014-6-5 16:26:25	10021	999888	2
2014-6-5 16:26:25	10021	999888	2
2014-6-5 16:42:56	10021	999888	2
2014-6-5 16:44:8	10021	999888	1
2014-6-5 16:44:9	10021	999888	1
2014-6-5 16:44:28	10021	999888	2
2014-6-5 16:52:34	10022	999888	2
2014-6-5 16:52:39	10022	999888	1
2014-6-5 16:52:58	10024	999888	2
2014-6-5 16:53:18	10022	999888	2
