等级	经验	速度	血量	外功	内功	外放	内防	杀气	[简介]
1	2	50	52	18	18	18	18	13	河曲马
2	4	50	52	18	18	18	18	13	河曲马
3	10	50	52	18	18	18	18	13	河曲马
4	20	50	52	18	18	18	18	13	河曲马
5	30	50	52	18	18	18	18	13	河曲马
6	44	50	52	18	18	18	18	13	河曲马
7	76	50	52	18	18	18	18	13	河曲马
8	143	50	52	18	18	18	18	13	河曲马
9	240	50	52	18	18	18	18	13	河曲马
10	382	50	52	18	18	18	18	13	河曲马
11	586	50	52	18	18	18	18	13	河曲马
12	845	50	52	18	18	18	18	13	河曲马
13	1197	50	52	18	18	18	18	13	河曲马
14	1704	50	52	18	18	18	18	13	河曲马
15	2362	50	52	18	18	18	18	13	河曲马
16	3180	50	52	18	18	18	18	13	河曲马
17	4191	50	52	18	18	18	18	13	河曲马
18	5587	50	52	18	18	18	18	13	河曲马
19	7277	50	52	18	18	18	18	13	河曲马
20	9337	50	52	18	18	18	18	13	河曲马
21	11760	50	52	18	18	18	18	13	河曲马
22	14628	50	52	18	18	18	18	13	河曲马
23	17983	50	52	18	18	18	18	13	河曲马
24	22227	50	52	18	18	18	18	13	河曲马
25	27135	50	52	18	18	18	18	13	河曲马
26	32832	50	52	18	18	18	18	13	河曲马
27	39308	50	52	18	18	18	18	13	河曲马
28	47268	50	52	18	18	18	18	13	河曲马
29	56292	50	52	18	18	18	18	13	河曲马
30	66547	50	52	18	18	18	18	13	河曲马
31	78022	50	52	18	18	18	18	13	河曲马
32	90950	50	52	18	18	18	18	13	河曲马
33	105316	50	52	18	18	18	18	13	河曲马
34	122340	50	52	18	18	18	18	13	河曲马
35	141224	50	52	18	18	18	18	13	河曲马
36	162140	50	52	18	18	18	18	13	河曲马
37	185274	50	52	18	18	18	18	13	河曲马
38	212101	50	52	18	18	18	18	13	河曲马
39	241623	50	52	18	18	18	18	13	河曲马
40	273900	50	52	18	18	18	18	13	河曲马
41	309324	50	52	18	18	18	18	13	河曲马
42	347882	50	52	18	18	18	18	13	河曲马
43	389812	50	52	18	18	18	18	13	河曲马
44	437580	50	52	18	18	18	18	13	河曲马
45	489348	50	52	18	18	18	18	13	河曲马
46	545400	50	52	18	18	18	18	13	河曲马
47	606037	50	52	18	18	18	18	13	河曲马
48	674215	50	52	18	18	18	18	13	河曲马
49	747740	50	52	18	18	18	18	13	河曲马
50	826965	50	52	18	18	18	18	13	河曲马
51	911997	50	52	18	18	18	18	13	河曲马
52	1003200	50	52	18	18	18	18	13	河曲马
53	1100812	50	52	18	18	18	18	13	河曲马
54	1209160	50	52	18	18	18	18	13	河曲马
55	1325165	50	52	18	18	18	18	13	河曲马
56	1448808	50	52	18	18	18	18	13	河曲马
57	1580680	50	52	18	18	18	18	13	河曲马
58	1726142	50	52	18	18	18	18	13	河曲马
59	1880960	50	52	18	18	18	18	13	河曲马
60	2045460	50	52	18	18	18	18	13	河曲马
61	2219964	50	52	18	18	18	18	13	河曲马
62	2405187	50	52	18	18	18	18	13	河曲马
63	2601287	50	52	18	18	18	18	13	河曲马
64	2815614	50	52	18	18	18	18	13	河曲马
65	3042375	50	52	18	18	18	18	13	河曲马
66	3281960	50	52	18	18	18	18	13	河曲马
67	3534759	50	52	18	18	18	18	13	河曲马
68	3809552	50	52	18	18	18	18	13	河曲马
69	4099563	50	52	18	18	18	18	13	河曲马
70	4405005	50	52	18	18	18	18	13	河曲马
71	4726319	50	52	18	18	18	18	13	河曲马
72	5064470	50	52	18	18	18	18	13	河曲马
73	5419672	50	52	18	18	18	18	13	河曲马
74	5803176	50	52	18	18	18	18	13	河曲马
75	6205815	50	52	18	18	18	18	13	河曲马
76	6628398	50	52	18	18	18	18	13	河曲马
77	7071166	50	52	18	18	18	18	13	河曲马
78	7547256	50	52	18	18	18	18	13	河曲马
79	8045853	50	52	18	18	18	18	13	河曲马
80	8567857	50	52	18	18	18	18	13	河曲马
81	9113868	50	52	18	18	18	18	13	河曲马
82	9684485	50	52	18	18	18	18	13	河曲马
83	10280308	50	52	18	18	18	18	13	河曲马
84	10918025	50	52	18	18	18	18	13	河曲马
85	11583291	50	52	18	18	18	18	13	河曲马
86	12277488	50	52	18	18	18	18	13	河曲马
87	13001304	50	52	18	18	18	18	13	河曲马
88	13773109	50	52	18	18	18	18	13	河曲马
89	14577130	50	52	18	18	18	18	13	河曲马
90	15414502	50	52	18	18	18	18	13	河曲马
91	16285983	50	52	18	18	18	18	13	河曲马
92	17192327	50	52	18	18	18	18	13	河曲马
93	18134726	50	52	18	18	18	18	13	河曲马
94	19135512	50	52	18	18	18	18	13	河曲马
95	20175308	50	52	18	18	18	18	13	河曲马
96	21255404	50	52	18	18	18	18	13	河曲马
97	22376655	50	52	18	18	18	18	13	河曲马
98	23564335	50	52	18	18	18	18	13	河曲马
99	24796390	50	52	18	18	18	18	13	河曲马
100	0	50	52	18	18	18	18	13	河曲马
