等级	经验	速度	血量	外功	内功	外放	内防	杀气	[简介]
1	2	50	46	16	16	16	16	12	三河马
2	4	50	46	16	16	16	16	12	三河马
3	10	50	46	16	16	16	16	12	三河马
4	20	50	46	16	16	16	16	12	三河马
5	30	50	46	16	16	16	16	12	三河马
6	44	50	46	16	16	16	16	12	三河马
7	76	50	46	16	16	16	16	12	三河马
8	143	50	46	16	16	16	16	12	三河马
9	240	50	46	16	16	16	16	12	三河马
10	382	50	46	16	16	16	16	12	三河马
11	586	50	46	16	16	16	16	12	三河马
12	845	50	46	16	16	16	16	12	三河马
13	1197	50	46	16	16	16	16	12	三河马
14	1704	50	46	16	16	16	16	12	三河马
15	2362	50	46	16	16	16	16	12	三河马
16	3180	50	46	16	16	16	16	12	三河马
17	4191	50	46	16	16	16	16	12	三河马
18	5587	50	46	16	16	16	16	12	三河马
19	7277	50	46	16	16	16	16	12	三河马
20	9337	50	46	16	16	16	16	12	三河马
21	11760	50	46	16	16	16	16	12	三河马
22	14628	50	46	16	16	16	16	12	三河马
23	17983	50	46	16	16	16	16	12	三河马
24	22227	50	46	16	16	16	16	12	三河马
25	27135	50	46	16	16	16	16	12	三河马
26	32832	50	46	16	16	16	16	12	三河马
27	39308	50	46	16	16	16	16	12	三河马
28	47268	50	46	16	16	16	16	12	三河马
29	56292	50	46	16	16	16	16	12	三河马
30	66547	50	46	16	16	16	16	12	三河马
31	78022	50	46	16	16	16	16	12	三河马
32	90950	50	46	16	16	16	16	12	三河马
33	105316	50	46	16	16	16	16	12	三河马
34	122340	50	46	16	16	16	16	12	三河马
35	141224	50	46	16	16	16	16	12	三河马
36	162140	50	46	16	16	16	16	12	三河马
37	185274	50	46	16	16	16	16	12	三河马
38	212101	50	46	16	16	16	16	12	三河马
39	241623	50	46	16	16	16	16	12	三河马
40	273900	50	46	16	16	16	16	12	三河马
41	309324	50	46	16	16	16	16	12	三河马
42	347882	50	46	16	16	16	16	12	三河马
43	389812	50	46	16	16	16	16	12	三河马
44	437580	50	46	16	16	16	16	12	三河马
45	489348	50	46	16	16	16	16	12	三河马
46	545400	50	46	16	16	16	16	12	三河马
47	606037	50	46	16	16	16	16	12	三河马
48	674215	50	46	16	16	16	16	12	三河马
49	747740	50	46	16	16	16	16	12	三河马
50	826965	50	46	16	16	16	16	12	三河马
51	911997	50	46	16	16	16	16	12	三河马
52	1003200	50	46	16	16	16	16	12	三河马
53	1100812	50	46	16	16	16	16	12	三河马
54	1209160	50	46	16	16	16	16	12	三河马
55	1325165	50	46	16	16	16	16	12	三河马
56	1448808	50	46	16	16	16	16	12	三河马
57	1580680	50	46	16	16	16	16	12	三河马
58	1726142	50	46	16	16	16	16	12	三河马
59	1880960	50	46	16	16	16	16	12	三河马
60	2045460	50	46	16	16	16	16	12	三河马
61	2219964	50	46	16	16	16	16	12	三河马
62	2405187	50	46	16	16	16	16	12	三河马
63	2601287	50	46	16	16	16	16	12	三河马
64	2815614	50	46	16	16	16	16	12	三河马
65	3042375	50	46	16	16	16	16	12	三河马
66	3281960	50	46	16	16	16	16	12	三河马
67	3534759	50	46	16	16	16	16	12	三河马
68	3809552	50	46	16	16	16	16	12	三河马
69	4099563	50	46	16	16	16	16	12	三河马
70	4405005	50	46	16	16	16	16	12	三河马
71	4726319	50	46	16	16	16	16	12	三河马
72	5064470	50	46	16	16	16	16	12	三河马
73	5419672	50	46	16	16	16	16	12	三河马
74	5803176	50	46	16	16	16	16	12	三河马
75	6205815	50	46	16	16	16	16	12	三河马
76	6628398	50	46	16	16	16	16	12	三河马
77	7071166	50	46	16	16	16	16	12	三河马
78	7547256	50	46	16	16	16	16	12	三河马
79	8045853	50	46	16	16	16	16	12	三河马
80	8567857	50	46	16	16	16	16	12	三河马
81	9113868	50	46	16	16	16	16	12	三河马
82	9684485	50	46	16	16	16	16	12	三河马
83	10280308	50	46	16	16	16	16	12	三河马
84	10918025	50	46	16	16	16	16	12	三河马
85	11583291	50	46	16	16	16	16	12	三河马
86	12277488	50	46	16	16	16	16	12	三河马
87	13001304	50	46	16	16	16	16	12	三河马
88	13773109	50	46	16	16	16	16	12	三河马
89	14577130	50	46	16	16	16	16	12	三河马
90	15414502	50	46	16	16	16	16	12	三河马
91	16285983	50	46	16	16	16	16	12	三河马
92	17192327	50	46	16	16	16	16	12	三河马
93	18134726	50	46	16	16	16	16	12	三河马
94	19135512	50	46	16	16	16	16	12	三河马
95	20175308	50	46	16	16	16	16	12	三河马
96	21255404	50	46	16	16	16	16	12	三河马
97	22376655	50	46	16	16	16	16	12	三河马
98	23564335	50	46	16	16	16	16	12	三河马
99	24796390	50	46	16	16	16	16	12	三河马
100	0	50	46	16	16	16	16	12	三河马
