等级	经验	速度	血量	外功	内功	外放	内防	杀气	[简介]
1	2	50	64	23	23	23	23	16	蒙古马
2	4	50	64	23	23	23	23	16	蒙古马
3	10	50	64	23	23	23	23	16	蒙古马
4	20	50	64	23	23	23	23	16	蒙古马
5	30	50	64	23	23	23	23	16	蒙古马
6	44	50	64	23	23	23	23	16	蒙古马
7	76	50	64	23	23	23	23	16	蒙古马
8	143	50	64	23	23	23	23	16	蒙古马
9	240	50	64	23	23	23	23	16	蒙古马
10	382	50	64	23	23	23	23	16	蒙古马
11	586	50	64	23	23	23	23	16	蒙古马
12	845	50	64	23	23	23	23	16	蒙古马
13	1197	50	64	23	23	23	23	16	蒙古马
14	1704	50	64	23	23	23	23	16	蒙古马
15	2362	50	64	23	23	23	23	16	蒙古马
16	3180	50	64	23	23	23	23	16	蒙古马
17	4191	50	64	23	23	23	23	16	蒙古马
18	5587	50	64	23	23	23	23	16	蒙古马
19	7277	50	64	23	23	23	23	16	蒙古马
20	9337	50	64	23	23	23	23	16	蒙古马
21	11760	50	64	23	23	23	23	16	蒙古马
22	14628	50	64	23	23	23	23	16	蒙古马
23	17983	50	64	23	23	23	23	16	蒙古马
24	22227	50	64	23	23	23	23	16	蒙古马
25	27135	50	64	23	23	23	23	16	蒙古马
26	32832	50	64	23	23	23	23	16	蒙古马
27	39308	50	64	23	23	23	23	16	蒙古马
28	47268	50	64	23	23	23	23	16	蒙古马
29	56292	50	64	23	23	23	23	16	蒙古马
30	66547	50	64	23	23	23	23	16	蒙古马
31	78022	50	64	23	23	23	23	16	蒙古马
32	90950	50	64	23	23	23	23	16	蒙古马
33	105316	50	64	23	23	23	23	16	蒙古马
34	122340	50	64	23	23	23	23	16	蒙古马
35	141224	50	64	23	23	23	23	16	蒙古马
36	162140	50	64	23	23	23	23	16	蒙古马
37	185274	50	64	23	23	23	23	16	蒙古马
38	212101	50	64	23	23	23	23	16	蒙古马
39	241623	50	64	23	23	23	23	16	蒙古马
40	273900	50	64	23	23	23	23	16	蒙古马
41	309324	50	64	23	23	23	23	16	蒙古马
42	347882	50	64	23	23	23	23	16	蒙古马
43	389812	50	64	23	23	23	23	16	蒙古马
44	437580	50	64	23	23	23	23	16	蒙古马
45	489348	50	64	23	23	23	23	16	蒙古马
46	545400	50	64	23	23	23	23	16	蒙古马
47	606037	50	64	23	23	23	23	16	蒙古马
48	674215	50	64	23	23	23	23	16	蒙古马
49	747740	50	64	23	23	23	23	16	蒙古马
50	826965	50	64	23	23	23	23	16	蒙古马
51	911997	50	64	23	23	23	23	16	蒙古马
52	1003200	50	64	23	23	23	23	16	蒙古马
53	1100812	50	64	23	23	23	23	16	蒙古马
54	1209160	50	64	23	23	23	23	16	蒙古马
55	1325165	50	64	23	23	23	23	16	蒙古马
56	1448808	50	64	23	23	23	23	16	蒙古马
57	1580680	50	64	23	23	23	23	16	蒙古马
58	1726142	50	64	23	23	23	23	16	蒙古马
59	1880960	50	64	23	23	23	23	16	蒙古马
60	2045460	50	64	23	23	23	23	16	蒙古马
61	2219964	50	64	23	23	23	23	16	蒙古马
62	2405187	50	64	23	23	23	23	16	蒙古马
63	2601287	50	64	23	23	23	23	16	蒙古马
64	2815614	50	64	23	23	23	23	16	蒙古马
65	3042375	50	64	23	23	23	23	16	蒙古马
66	3281960	50	64	23	23	23	23	16	蒙古马
67	3534759	50	64	23	23	23	23	16	蒙古马
68	3809552	50	64	23	23	23	23	16	蒙古马
69	4099563	50	64	23	23	23	23	16	蒙古马
70	4405005	50	64	23	23	23	23	16	蒙古马
71	4726319	50	64	23	23	23	23	16	蒙古马
72	5064470	50	64	23	23	23	23	16	蒙古马
73	5419672	50	64	23	23	23	23	16	蒙古马
74	5803176	50	64	23	23	23	23	16	蒙古马
75	6205815	50	64	23	23	23	23	16	蒙古马
76	6628398	50	64	23	23	23	23	16	蒙古马
77	7071166	50	64	23	23	23	23	16	蒙古马
78	7547256	50	64	23	23	23	23	16	蒙古马
79	8045853	50	64	23	23	23	23	16	蒙古马
80	8567857	50	64	23	23	23	23	16	蒙古马
81	9113868	50	64	23	23	23	23	16	蒙古马
82	9684485	50	64	23	23	23	23	16	蒙古马
83	10280308	50	64	23	23	23	23	16	蒙古马
84	10918025	50	64	23	23	23	23	16	蒙古马
85	11583291	50	64	23	23	23	23	16	蒙古马
86	12277488	50	64	23	23	23	23	16	蒙古马
87	13001304	50	64	23	23	23	23	16	蒙古马
88	13773109	50	64	23	23	23	23	16	蒙古马
89	14577130	50	64	23	23	23	23	16	蒙古马
90	15414502	50	64	23	23	23	23	16	蒙古马
91	16285983	50	64	23	23	23	23	16	蒙古马
92	17192327	50	64	23	23	23	23	16	蒙古马
93	18134726	50	64	23	23	23	23	16	蒙古马
94	19135512	50	64	23	23	23	23	16	蒙古马
95	20175308	50	64	23	23	23	23	16	蒙古马
96	21255404	50	64	23	23	23	23	16	蒙古马
97	22376655	50	64	23	23	23	23	16	蒙古马
98	23564335	50	64	23	23	23	23	16	蒙古马
99	24796390	50	64	23	23	23	23	16	蒙古马
100	0	50	64	23	23	23	23	16	蒙古马
