等级	经验	速度	血量	外功	内功	外放	内防	杀气	[简介]
1	2	50	81	29	29	29	29	21	天方马
2	4	50	81	29	29	29	29	21	天方马
3	10	50	81	29	29	29	29	21	天方马
4	20	50	81	29	29	29	29	21	天方马
5	30	50	81	29	29	29	29	21	天方马
6	44	50	81	29	29	29	29	21	天方马
7	76	50	81	29	29	29	29	21	天方马
8	143	50	81	29	29	29	29	21	天方马
9	240	50	81	29	29	29	29	21	天方马
10	382	50	81	29	29	29	29	21	天方马
11	586	50	81	29	29	29	29	21	天方马
12	845	50	81	29	29	29	29	21	天方马
13	1197	50	81	29	29	29	29	21	天方马
14	1704	50	81	29	29	29	29	21	天方马
15	2362	50	81	29	29	29	29	21	天方马
16	3180	50	81	29	29	29	29	21	天方马
17	4191	50	81	29	29	29	29	21	天方马
18	5587	50	81	29	29	29	29	21	天方马
19	7277	50	81	29	29	29	29	21	天方马
20	9337	50	81	29	29	29	29	21	天方马
21	11760	50	81	29	29	29	29	21	天方马
22	14628	50	81	29	29	29	29	21	天方马
23	17983	50	81	29	29	29	29	21	天方马
24	22227	50	81	29	29	29	29	21	天方马
25	27135	50	81	29	29	29	29	21	天方马
26	32832	50	81	29	29	29	29	21	天方马
27	39308	50	81	29	29	29	29	21	天方马
28	47268	50	81	29	29	29	29	21	天方马
29	56292	50	81	29	29	29	29	21	天方马
30	66547	50	81	29	29	29	29	21	天方马
31	78022	50	81	29	29	29	29	21	天方马
32	90950	50	81	29	29	29	29	21	天方马
33	105316	50	81	29	29	29	29	21	天方马
34	122340	50	81	29	29	29	29	21	天方马
35	141224	50	81	29	29	29	29	21	天方马
36	162140	50	81	29	29	29	29	21	天方马
37	185274	50	81	29	29	29	29	21	天方马
38	212101	50	81	29	29	29	29	21	天方马
39	241623	50	81	29	29	29	29	21	天方马
40	273900	50	81	29	29	29	29	21	天方马
41	309324	50	81	29	29	29	29	21	天方马
42	347882	50	81	29	29	29	29	21	天方马
43	389812	50	81	29	29	29	29	21	天方马
44	437580	50	81	29	29	29	29	21	天方马
45	489348	50	81	29	29	29	29	21	天方马
46	545400	50	81	29	29	29	29	21	天方马
47	606037	50	81	29	29	29	29	21	天方马
48	674215	50	81	29	29	29	29	21	天方马
49	747740	50	81	29	29	29	29	21	天方马
50	826965	50	81	29	29	29	29	21	天方马
51	911997	50	81	29	29	29	29	21	天方马
52	1003200	50	81	29	29	29	29	21	天方马
53	1100812	50	81	29	29	29	29	21	天方马
54	1209160	50	81	29	29	29	29	21	天方马
55	1325165	50	81	29	29	29	29	21	天方马
56	1448808	50	81	29	29	29	29	21	天方马
57	1580680	50	81	29	29	29	29	21	天方马
58	1726142	50	81	29	29	29	29	21	天方马
59	1880960	50	81	29	29	29	29	21	天方马
60	2045460	50	81	29	29	29	29	21	天方马
61	2219964	50	81	29	29	29	29	21	天方马
62	2405187	50	81	29	29	29	29	21	天方马
63	2601287	50	81	29	29	29	29	21	天方马
64	2815614	50	81	29	29	29	29	21	天方马
65	3042375	50	81	29	29	29	29	21	天方马
66	3281960	50	81	29	29	29	29	21	天方马
67	3534759	50	81	29	29	29	29	21	天方马
68	3809552	50	81	29	29	29	29	21	天方马
69	4099563	50	81	29	29	29	29	21	天方马
70	4405005	50	81	29	29	29	29	21	天方马
71	4726319	50	81	29	29	29	29	21	天方马
72	5064470	50	81	29	29	29	29	21	天方马
73	5419672	50	81	29	29	29	29	21	天方马
74	5803176	50	81	29	29	29	29	21	天方马
75	6205815	50	81	29	29	29	29	21	天方马
76	6628398	50	81	29	29	29	29	21	天方马
77	7071166	50	81	29	29	29	29	21	天方马
78	7547256	50	81	29	29	29	29	21	天方马
79	8045853	50	81	29	29	29	29	21	天方马
80	8567857	50	81	29	29	29	29	21	天方马
81	9113868	50	81	29	29	29	29	21	天方马
82	9684485	50	81	29	29	29	29	21	天方马
83	10280308	50	81	29	29	29	29	21	天方马
84	10918025	50	81	29	29	29	29	21	天方马
85	11583291	50	81	29	29	29	29	21	天方马
86	12277488	50	81	29	29	29	29	21	天方马
87	13001304	50	81	29	29	29	29	21	天方马
88	13773109	50	81	29	29	29	29	21	天方马
89	14577130	50	81	29	29	29	29	21	天方马
90	15414502	50	81	29	29	29	29	21	天方马
91	16285983	50	81	29	29	29	29	21	天方马
92	17192327	50	81	29	29	29	29	21	天方马
93	18134726	50	81	29	29	29	29	21	天方马
94	19135512	50	81	29	29	29	29	21	天方马
95	20175308	50	81	29	29	29	29	21	天方马
96	21255404	50	81	29	29	29	29	21	天方马
97	22376655	50	81	29	29	29	29	21	天方马
98	23564335	50	81	29	29	29	29	21	天方马
99	24796390	50	81	29	29	29	29	21	天方马
100	0	50	81	29	29	29	29	21	天方马
