等级	经验	速度	血量	外功	内功	外放	内防	杀气	[简介]
1	2	50	117	42	42	42	42	30	赤兔马
2	4	50	117	42	42	42	42	30	赤兔马
3	10	50	117	42	42	42	42	30	赤兔马
4	20	50	117	42	42	42	42	30	赤兔马
5	30	50	117	42	42	42	42	30	赤兔马
6	44	50	117	42	42	42	42	30	赤兔马
7	76	50	117	42	42	42	42	30	赤兔马
8	143	50	117	42	42	42	42	30	赤兔马
9	240	50	117	42	42	42	42	30	赤兔马
10	382	50	117	42	42	42	42	30	赤兔马
11	586	50	117	42	42	42	42	30	赤兔马
12	845	50	117	42	42	42	42	30	赤兔马
13	1197	50	117	42	42	42	42	30	赤兔马
14	1704	50	117	42	42	42	42	30	赤兔马
15	2362	50	117	42	42	42	42	30	赤兔马
16	3180	50	117	42	42	42	42	30	赤兔马
17	4191	50	117	42	42	42	42	30	赤兔马
18	5587	50	117	42	42	42	42	30	赤兔马
19	7277	50	117	42	42	42	42	30	赤兔马
20	9337	50	117	42	42	42	42	30	赤兔马
21	11760	50	117	42	42	42	42	30	赤兔马
22	14628	50	117	42	42	42	42	30	赤兔马
23	17983	50	117	42	42	42	42	30	赤兔马
24	22227	50	117	42	42	42	42	30	赤兔马
25	27135	50	117	42	42	42	42	30	赤兔马
26	32832	50	117	42	42	42	42	30	赤兔马
27	39308	50	117	42	42	42	42	30	赤兔马
28	47268	50	117	42	42	42	42	30	赤兔马
29	56292	50	117	42	42	42	42	30	赤兔马
30	66547	50	117	42	42	42	42	30	赤兔马
31	78022	50	117	42	42	42	42	30	赤兔马
32	90950	50	117	42	42	42	42	30	赤兔马
33	105316	50	117	42	42	42	42	30	赤兔马
34	122340	50	117	42	42	42	42	30	赤兔马
35	141224	50	117	42	42	42	42	30	赤兔马
36	162140	50	117	42	42	42	42	30	赤兔马
37	185274	50	117	42	42	42	42	30	赤兔马
38	212101	50	117	42	42	42	42	30	赤兔马
39	241623	50	117	42	42	42	42	30	赤兔马
40	273900	50	117	42	42	42	42	30	赤兔马
41	309324	50	117	42	42	42	42	30	赤兔马
42	347882	50	117	42	42	42	42	30	赤兔马
43	389812	50	117	42	42	42	42	30	赤兔马
44	437580	50	117	42	42	42	42	30	赤兔马
45	489348	50	117	42	42	42	42	30	赤兔马
46	545400	50	117	42	42	42	42	30	赤兔马
47	606037	50	117	42	42	42	42	30	赤兔马
48	674215	50	117	42	42	42	42	30	赤兔马
49	747740	50	117	42	42	42	42	30	赤兔马
50	826965	50	117	42	42	42	42	30	赤兔马
51	911997	50	117	42	42	42	42	30	赤兔马
52	1003200	50	117	42	42	42	42	30	赤兔马
53	1100812	50	117	42	42	42	42	30	赤兔马
54	1209160	50	117	42	42	42	42	30	赤兔马
55	1325165	50	117	42	42	42	42	30	赤兔马
56	1448808	50	117	42	42	42	42	30	赤兔马
57	1580680	50	117	42	42	42	42	30	赤兔马
58	1726142	50	117	42	42	42	42	30	赤兔马
59	1880960	50	117	42	42	42	42	30	赤兔马
60	2045460	50	117	42	42	42	42	30	赤兔马
61	2219964	50	117	42	42	42	42	30	赤兔马
62	2405187	50	117	42	42	42	42	30	赤兔马
63	2601287	50	117	42	42	42	42	30	赤兔马
64	2815614	50	117	42	42	42	42	30	赤兔马
65	3042375	50	117	42	42	42	42	30	赤兔马
66	3281960	50	117	42	42	42	42	30	赤兔马
67	3534759	50	117	42	42	42	42	30	赤兔马
68	3809552	50	117	42	42	42	42	30	赤兔马
69	4099563	50	117	42	42	42	42	30	赤兔马
70	4405005	50	117	42	42	42	42	30	赤兔马
71	4726319	50	117	42	42	42	42	30	赤兔马
72	5064470	50	117	42	42	42	42	30	赤兔马
73	5419672	50	117	42	42	42	42	30	赤兔马
74	5803176	50	117	42	42	42	42	30	赤兔马
75	6205815	50	117	42	42	42	42	30	赤兔马
76	6628398	50	117	42	42	42	42	30	赤兔马
77	7071166	50	117	42	42	42	42	30	赤兔马
78	7547256	50	117	42	42	42	42	30	赤兔马
79	8045853	50	117	42	42	42	42	30	赤兔马
80	8567857	50	117	42	42	42	42	30	赤兔马
81	9113868	50	117	42	42	42	42	30	赤兔马
82	9684485	50	117	42	42	42	42	30	赤兔马
83	10280308	50	117	42	42	42	42	30	赤兔马
84	10918025	50	117	42	42	42	42	30	赤兔马
85	11583291	50	117	42	42	42	42	30	赤兔马
86	12277488	50	117	42	42	42	42	30	赤兔马
87	13001304	50	117	42	42	42	42	30	赤兔马
88	13773109	50	117	42	42	42	42	30	赤兔马
89	14577130	50	117	42	42	42	42	30	赤兔马
90	15414502	50	117	42	42	42	42	30	赤兔马
91	16285983	50	117	42	42	42	42	30	赤兔马
92	17192327	50	117	42	42	42	42	30	赤兔马
93	18134726	50	117	42	42	42	42	30	赤兔马
94	19135512	50	117	42	42	42	42	30	赤兔马
95	20175308	50	117	42	42	42	42	30	赤兔马
96	21255404	50	117	42	42	42	42	30	赤兔马
97	22376655	50	117	42	42	42	42	30	赤兔马
98	23564335	50	117	42	42	42	42	30	赤兔马
99	24796390	50	117	42	42	42	42	30	赤兔马
100	0	50	117	42	42	42	42	30	赤兔马
