1	140	2	110	3	1025	4	1005	5	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	105	2	105	3	105	4	105	5	101	6	101	7	1001	8	105	9	105	10	105	11	105	12	105	13	105
1	120	2	115	3	110	4	105	5	101	6	1002	7	1001	8	10004	9	10002	10	10001	0	0	0	0	0	0
1	120	2	115	3	110	4	105	5	101	6	1002	7	1001	8	10004	9	10002	10	10001	0	0	0	0	0	0
1	120	2	115	3	110	4	105	5	101	6	1002	7	1001	8	10004	9	10002	10	10001	0	0	0	0	0	0
1	120	2	115	3	110	4	105	5	101	6	1002	7	1001	8	10004	9	10002	10	10001	0	0	0	0	0	0
1	150	2	110	3	101	4	1001	5	10001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	110	2	101	3	1001	4	10001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	125	6	120	9	115	12	110	15	105	18	101	21	1005	24	1002	27	1001	30	10005	0	0	0	0	0	0
3	125	6	120	9	115	12	110	15	105	18	101	21	1005	24	1002	27	1001	30	10005	0	0	0	0	0	0
3	125	6	120	9	115	12	110	15	105	18	101	21	1005	24	1002	27	1001	30	10005	0	0	0	0	0	0
1	120	2	115	3	110	4	105	5	101	6	1002	7	1001	8	10004	9	10002	10	10001	0	0	0	0	0	0
1	120	2	115	3	110	4	105	5	101	6	1002	7	1001	8	10004	9	10002	10	10001	0	0	0	0	0	0
1	120	2	115	3	110	4	105	5	101	6	1002	7	1001	8	10004	9	10002	10	10001	0	0	0	0	0	0
